"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"P2","SM04B-SRSS-TB","46.95mm","11.5mm","45mm","10mm","45mm","11mm","B","360.00","ANA"
"P5","HDR1X2","10.73mm","19.5mm","12mm","19.5mm","12mm","19.5mm","T","180.00","LED"
"S1","SW-PB_SMD_2pin","18.5mm","10.5mm","18.5mm","10.5mm","14.65mm","10.5mm","B","360.00","CALIBRATE"
"U2","TCD1304AP_LINEAR_CCD","22.5mm","11.5mm","22.5mm","11.5mm","35.2mm","6.675mm","T","180.00","TCD1304AP"
"P7","Micro-USB_B_Molex_105017-0001","3.15mm","11.5mm","4.5mm","11.5mm","1.8mm","8mm","B","90.00","Micro-USB B Socket"
"P4","HDR1X3","26.96mm","3.5mm","29.5mm","3.5mm","29.5mm","3.5mm","B","180.00","BOOT_SEL"
"R5","RESC1608X55N","16mm","20mm","16mm","20mm","16mm","19.15mm","T","90.00","RES_EMPTY_0603"
"R4","RESC1608X55N","18.5mm","20mm","18.5mm","20mm","18.5mm","19.15mm","T","90.00","Thick Film"
"C9","CAPC1608X90N","21mm","20mm","21mm","20mm","21mm","20.85mm","T","270.00","approved sub OK"
"MH4","M3-Hole-2","47mm","20mm","47mm","20mm","47mm","20mm","T","0.00","M3"
"MH3","M3-Hole-2","3mm","20mm","3mm","20mm","3mm","20mm","T","0.00","M3"
"MH2","M3-Hole-2","3mm","3mm","3mm","3mm","3mm","3mm","T","0.00","M3"
"MH1","M3-Hole-2","47mm","3mm","47mm","3mm","47mm","3mm","T","0.00","M3"
"R3","RESC1608X55N","33.5mm","20mm","33.5mm","20mm","33.5mm","20.85mm","T","270.00","Thick Film"
"D1","SOT23-R","39.508mm","19.9924mm","39.5mm","20mm","38.5mm","20.95mm","T","270.00","Diode   SMADIODE - SMA Surface Mount Package  20V 1A Schottky Diode Digikey: 641-1014-6-ND    DO-1N4148 - Through Hole Small Current Diode SOD-123 20V 1 A (.5mV Vf) Schottky Diode - Digikey: MBRX120TPMSCT-ND    SOD-323 10V 570mA (.38mV Vf, 3ns) Schottky Diode - Digikey: ZLLS410CT-ND    SOD-523 30V 30mA Schottky Diode (RB751S-40TE61) - Digikey: RB751S-40TE61CT-ND    SOT23-R/W - SOT23 Package (R = Solder Paste/Reflow Ovens, W = Hand-Soldering)  BAT54Film 40V 300mA - Digikey: 497-7162-1-ND"
"C8","CAPC1608X90N","31mm","20mm","31mm","20mm","31mm","20.85mm","T","270.00","approved sub OK"
"C7","CAPC1608X90N","35.75mm","3.25mm","35.75mm","3.25mm","35.75mm","2.4mm","T","90.00","approved sub OK"
"C1","CAPC2012X135N","39.742mm","9.734mm","39.742mm","9.734mm","40.642mm","9.734mm","B","180.00","approved sub OK"
"C2","CAPC2012X135N","36.852mm","12.554mm","36.852mm","12.554mm","36.852mm","13.454mm","B","270.00","approved sub OK"
"C3","CAPC1608X90N","24.5mm","11mm","24.5mm","11mm","24.5mm","11.85mm","B","270.00","approved sub OK"
"C4","CAPC1608X90N","35mm","12.5mm","35mm","12.5mm","35mm","13.35mm","B","270.00","approved sub OK"
"C5","CAPC1608X90N","36mm","20mm","36mm","20mm","36mm","19.15mm","T","90.00","approved sub OK"
"C6","CAPC1608X90N","28.5mm","20mm","28.5mm","20mm","28.5mm","20.85mm","T","270.00","approved sub OK"
"LED1","LED3535","10.257mm","11.5013mm","10.25mm","11.5mm","11.139mm","9.75mm","B","90.00","WS2812B3535"
"P1","SM04B-SRSS-TB","46.95mm","11.5mm","45mm","13mm","45mm","12mm","T","360.00","I2C"
"P3","HDR1X5","14.62mm","3.5mm","19.7mm","3.5mm","19.7mm","3.5mm","B","180.00","SWD"
"R1","RESC1608X55N","26mm","20mm","26mm","20mm","26mm","20.85mm","T","270.00","Thick Film"
"R2","RESC1608X55N","23.5mm","20mm","23.5mm","20mm","23.5mm","20.85mm","T","270.00","Thick Film"
"U1","STM-TSSOP20_N","29.5mm","11.5mm","29.5mm","11.5mm","32.35mm","14.425mm","B","180.00","STM32F042F4P6"
"U3","SOT23-3","39.852mm","12.554mm","39.852mm","12.554mm","38.702mm","11.604mm","B","360.00","AP7313-33SR"

